#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
50,Which system reduces car skidding?,ABS (Anti-lock Braking System),Cruise Control,Airbags,Suspension
51,Which fuel is most common in commercial aviation?,Jet A Fuel,Gasoline,Hydrogen,Diesel
52,What makes hybrid cars efficient?,Use gasoline and electricity,Fully electric,Run on solar,Extra fuel tanks
53,Which system warns drivers of vehicles in blind spots?,Blind Spot Detection,Cruise Control,Anti-lock Brakes,Power Steering
54,What technology powers Tesla cars?,Electric Motors,Gasoline Engines,Steam Engines,Hybrid Engines
55,Which invention first allowed humans into orbit?,Vostok Rocket,Apollo Capsule,Space Shuttle,Saturn V
56,What is the primary purpose of drones?,Remote aerial tasks,Drive on highways,Swim underwater,Detect earthquakes
57,Which transport technology reduces friction to near zero?,Maglev,Bicycle,Car,Airplane
58,Which invention made global shipping efficient?,Shipping Containers,Wooden Boats,Canoes,Airplanes
59,What type of bridge is the Golden Gate Bridge?,Suspension,Arch,Beam,Truss
60,Which system keeps satellites from falling to Earth?,Gravity + Orbital Velocity,Magnetism,Solar Pressure,Nuclear Power
61,What is additive manufacturing?,3D Printing,Casting,Carving,Molding
62,What is subtractive manufacturing?,Removing material,Adding material,Recycling,Recycling
63,Which metal is an alloy of iron and carbon?,Steel,Bronze,Brass,Aluminum
64,What does CNC machining use?,Computer-controlled tools,Manual labor,Chemical reactions,Lasers only
65,Which process uses intense heat to join metals?,Welding,Painting,Casting,Molding
66,What is a smart material?,Changes properties in response to environment,Lightweight only,Always flexible,Always magnetic
67,Which manufacturing process produces identical products quickly?,Mass Production,Handcrafting,Custom Manufacturing,Reverse Engineering
68,Which tool measures electrical current?,Ammeter,Voltmeter,Ohmmeter,Thermometer
69,Which safety device shuts down machines in emergencies?,Kill Switch,Fuse,Circuit,Reset Button
70,What is nanotechnology?,Engineering at atomic scale,Building large machines,Printing large layers,Internet security
71,Which material is a polymer?,Plastic,Steel,Copper,Glass
72,Which process creates thin metal sheets?,Rolling,Forging,Casting,Welding
73,Which process strengthens steel using heat and cooling?,Tempering,Polishing,Casting,Cutting
74,Which symbol means toxic?,Skull and Crossbones,Fire,Triangle,Recycle Symbol
75,What is ergonomics in design?,Designing for human comfort and efficiency,Designing for looks,Designing for low cost,Designing only for speed
76,Which process uses molds for shaping materials?,Casting,Welding,Rolling,Tempering
77,Which material is strongest per weight?,Carbon Fiber,Steel,Aluminum,Titanium
78,Which device controls machine speed?,Governor,Motor,Pulley,Gear
79,Which method produces hollow glass bottles?,Blow Molding,Injection Molding,Carving,Casting
80,Which factor does quality control check?,Accuracy of production,Price of product,Size of factory,Color of product
81,What law states energy cannot be created or destroyed?,Law of Conservation of Energy,Newton’s 3rd Law,Ohm’s Law,Moore’s Law
82,What device converts mechanical energy into electricity?,Generator,Motor,Battery,Transformer
83,What device converts electrical energy into mechanical energy?,Motor,Generator,Battery,Capacitor
84,What is the unit of electrical resistance?,Ohm,Watt,Volt,Ampere
85,What does a transformer change?,Voltage,Current,Resistance,Power
86,What type of current flows in one direction only?,Direct Current (DC),Alternating Current (AC),Static,Reversed
87,Which energy source is renewable?,Wind,Coal,Oil,Natural Gas
88,Which energy source is nonrenewable?,Coal,Wind,Solar,Hydroelectric
89,Which power source splits atoms?,Nuclear,Solar,Wind,Geothermal
90,Which device stores chemical energy?,Battery,Resistor,Capacitor,Motor
91,What does Ohm’s Law relate?,"Voltage, Current, Resistance","Mass, Force, Acceleration","Power, Energy, Time","Heat, Pressure, Volume"
92,What is measured in kilowatt-hours?,Electrical Energy,Power,Voltage,Current
93,What is geothermal energy?,Heat from Earth,Heat from Sun,Heat from Wind,Heat from Water
94,What type of energy is stored in stretched springs?,Elastic Potential,Kinetic,Thermal,Chemical
95,What is the greenhouse effect caused by?,Trapped heat from gases,Energy loss,Volcanoes,Sunspots
96,Which sector consumes the most energy?,Industry,Residential,Agriculture,Transport
97,What energy does a hydroelectric dam convert?,Kinetic to Electrical,Thermal to Electrical,Solar to Electrical,Nuclear to Electrical
98,Which device converts sunlight into electricity?,Photovoltaic Cell,Generator,Motor,Capacitor
99,What does alternating current do?,Reverses direction periodically,Flows in one direction,Stores charge,Stops suddenly
100,What is the unit of electrical power?,Watt,Volt,Ohm,Joule
