#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
35,What does SMS stand for?,Short Message Service,Signal Media System,Sound Message Source,Simple Mobile Service
36,Which device replaced letters for fast written communication?,Email,Pager,Fax,Telegram
37,What is streaming?,Watching media online in real time,Downloading music,Using cable TV,Storing video
38,What is bandwidth?,Maximum data transfer rate,Distance of cables,Number of devices,Internet cost
39,What is encryption used for?,Protect information,Speed up data,Block communication,Translate language
40,Which device boosted communication in cars?,Cell Phone,Printer,GPS,Walkie-Talkie
41,What invention made mass air travel possible?,Jet Engine,Balloon,Propeller,Sail
42,Which transportation uses magnetic levitation?,Maglev Train,Subway,Cargo Ship,Helicopter
43,What fuel do most airplanes use?,Jet Fuel,Gasoline,Diesel,Hydrogen
44,Which invention allowed crossing the ocean faster in the 1900s?,Steamship,Sailboat,Submarine,Hot Air Balloon
45,Which system reduces car accidents automatically?,Anti-lock Brakes,Cruise Control,Steering Wheel,Exhaust System
46,What is the fastest land vehicle?,Maglev Train,Car,Motorcycle,Subway
47,Which energy powers most modern cars today?,Gasoline,Solar,Hydrogen,Coal
48,Which vehicle travels in space?,Rocket,Submarine,Airplane,Car
49,What is the purpose of aerodynamics in vehicles?,Reduce air resistance,Increase size,Improve comfort,Change fuel type
50,Which invention allowed safe underground city transport?,Subway,Highway,Airplane,Bridge
51,What is a hybrid car?,Uses gasoline and electricity,Only solar powered,Only gasoline powered,A self-driving car
52,Which bridge type is strongest for long spans?,Suspension,Beam,Arch,Truss
53,Which system moves elevators up and down?,Pulley,Spring,Magnet,Lever
54,What do airbags do during a crash?,Protect passengers,Speed the car,Reduce fuel,Provide oxygen
55,Which invention made worldwide shipping faster?,Container Ship,Sailboat,Canoe,Ferry
56,Which system controls traffic in the air?,Air Traffic Control,GPS,Radar,Highway Patrol
57,Which invention replaced horses for farming work?,Tractor,Bicycle,Car,Plow
58,What type of vehicle runs on tracks?,Train,Car,Bus,Airplane
59,Which invention made bicycles safer?,Rubber Tires,Metal Wheels,Wooden Frames,Chains
60,Which system keeps satellites in orbit?,Gravity,Electricity,Magnetism,Wind
61,What is an assembly line?,Production line for mass manufacturing,Line of workers waiting,Warehouse,Conveyor belt only
62,What material is created from sand?,Glass,Plastic,Steel,Rubber
63,Which process shapes metal by melting and pouring?,Casting,Carving,Painting,Welding
64,What tool cuts wood?,Saw,Hammer,Screwdriver,Drill
65,What does CNC stand for?,Computer Numerical Control,Central Numeric Calculator,Complex Number Control,Coded Network Command
66,What process joins two metals using heat?,Welding,Polishing,Painting,Casting
67,What is a composite material?,Combination of 2+ materials,A natural material,A recycled product,A liquid material
68,What process removes material to create shape?,Subtractive Manufacturing,Additive Manufacturing,Welding,Molding
69,What process builds objects layer by layer?,3D Printing,Casting,Welding,Carving
70,Which safety gear protects lungs from dust?,Mask,Gloves,Boots,Helmet
71,Which safety symbol means “flammable”?,Fire Symbol,Skull Symbol,Radiation Symbol,Hand Symbol
72,Which material is biodegradable?,Paper,Plastic,Aluminum,Glass
73,Which metal is most used in construction?,Steel,Gold,Silver,Copper
74,Which tool is used for tightening bolts?,Wrench,Saw,Drill,Hammer
75,What is recycling?,Reusing waste materials,Burning trash,Making new tools,Throwing away garbage
76,"Which material is light but strong, used in planes?",Aluminum,Plastic,Glass,Rubber
77,Which process smooths rough wood surfaces?,Sanding,Cutting,Welding,Casting
78,Which type of simple machine is a screw?,Inclined Plane,Lever,Pulley,Wedge
79,What material is man-made?,Plastic,Wood,Stone,Cotton
80,Which process covers iron to prevent rust?,Painting,Melting,Polishing,Cutting
81,What type of energy is produced by moving water?,Hydroelectric,Wind,Nuclear,Solar
82,What type of energy is produced by wind turbines?,Wind Energy,Fossil Fuel,Nuclear,Chemical
83,What type of energy comes from the Sun?,Solar,Nuclear,Geothermal,Fossil Fuel
84,What type of energy is stored in food?,Chemical,Electrical,Thermal,Mechanical
85,What device converts sunlight into electricity?,Solar Panel,Generator,Windmill,Battery
86,What unit measures electrical energy?,Joule,Watt,Volt,Ampere
87,What unit measures power?,Watt,Ohm,Volt,Newton
88,What unit measures electric current?,Ampere,Volt,Ohm,Watt
89,What device measures resistance?,Ohmmeter,Ammeter,Voltmeter,Thermometer
90,Which circuit has only one path?,Series,Parallel,Complex,Open
91,Which circuit has more than one path?,Parallel,Series,Closed,Direct
92,Which source of energy is renewable?,Solar,Oil,Gasoline,Coal
93,Which source of energy is nonrenewable?,Coal,Solar,Wind,Geothermal
94,What type of energy is nuclear power?,Nuclear,Solar,Thermal,Chemical
95,What type of energy is stored in a stretched rubber band?,Elastic Potential,Kinetic,Thermal,Nuclear
96,What type of energy is in moving objects?,Kinetic,Potential,Chemical,Nuclear
97,What is the law of energy conservation?,Energy cannot be created or destroyed,Energy never changes,Energy only exists as heat,Energy disappears
98,What is the flow of electric charge called?,Current,Resistance,Voltage,Power
99,What is the unit of voltage?,Volt,Watt,Ohm,Joule
100,What is the unit of resistance?,Ohm,Watt,Volt,Ampere
